í≤ç∏îÕàÕ,óßñÿî‘çÜ,ãπçÇíºåa[cm],2cmäáñÒãπçÇíºåa[cm],é˜çÇ[m],ñÓçÇ[cm],çﬁêœ[m3],2cmäáñÒçﬁêœ[m3],ÉoÉCÉIÉ}ÉX[kg],ÉoÉCÉIÉ}ÉXÅi2cmäáñÒÅj[kg],é˜éÌ,ÉXÉeÅ[É^ÉX,ä‘î∞,Éå,ã´äEñÿ,èúäO,ÉtÉBÉãÉ^,ÉRÉÅÉìÉg,ä≤é¸[cm],X,Y,Z,ID,åoìxÅiê¢äEë™ínånÅj,à‹ìxÅiê¢äEë™ínånÅj,ïΩX[m]Åiê¢äEë™ínånÅj,ïΩY[m]Åiê¢äEë™ínånÅj,åoìxÅiì˙ñ{ë™ínånÅj,à‹ìxÅiì˙ñ{ë™ínånÅj,ïΩX[m]Åiì˙ñ{ë™ínånÅj,ïΩY[m]Åiì˙ñ{ë™ínånÅj,é˜ä•îºåa[m],ä‘î∞óvî€
,-1,14.2,14,10.7,3.7,0.0901,0.0867,43.53,41.87,ÉXÉM,ê∂óßñÿ,,,,,,,44.6,3.14,9.22,3.81,14,139.1354363,35.72911025,-29829.433,-63133.654,139.6257386,35.2563326,-30184.47,-62842.87,2.9,-
,-1,22.4,22,15.4,2.9,0.2996,0.2888,144.67,139.44,ÉXÉM,ê∂óßñÿ,,,,,,,70.3,2.03,5.88,1.55,13,139.1354192,35.7290818,-29832.578,-63135.222,139.6257387,35.2563327,-30187.616,-62844.438,3.8,-
,-1,30.5,30,13.1,2,0.4516,0.4354,218.05,210.22,ÉXÉM,ê∂óßñÿ,,,,,,,95.8,-10.91,-25.92,-4.49,99,139.1352306,35.72881326,-29862.25,-63152.496,139.6257388,35.2563328,-30217.288,-62861.712,4.6,-
,-1,37,38,11,3,0.5886,0.6186,284.2,298.64,ÉXÉM,ê∂óßñÿ,,,,,,,116.2,-11.69,-29.57,-2.52,100,139.1352167,35.72878162,-29865.752,-63153.779,139.6257389,35.2563329,-30220.789,-62862.995,5.2,-
,-1,24.7,24,14.8,2.4,0.3442,0.3259,166.21,157.35,ÉXÉM,ê∂óßñÿ,,,,,,,77.5,4.59,7.79,3.99,10,139.13545,35.72909575,-29831.05,-63132.421,139.625739,35.256333,-30186.088,-62841.637,4,-
,-1,32.7,32,11.4,3.4,0.477,0.4572,230.3,220.76,ÉXÉM,ê∂óßñÿ,,,,,,,102.7,-1.21,-25.9,2.35,102,139.1353369,35.72880182,-29863.587,-63142.884,139.6257391,35.2563331,-30218.625,-62852.099,4.8,-
,-1,44.8,44,12.1,0,0.7679,0.7461,370.76,360.2,ÉXÉM,ê∂óßñÿ,,,,,,,140.7,0.62,-28.27,4.88,104,139.1353535,35.7287784,-29866.197,-63141.403,139.6257392,35.2563332,-30221.234,-62850.619,5.8,-
,-1,32.5,32,15.4,2.1,0.6182,0.5985,298.49,288.94,ÉXÉM,ê∂óßñÿ,,,,,,,102.1,1.71,-20.41,2.43,105,139.1353769,35.72884734,-29858.563,-63139.229,139.6257393,35.2563333,-30213.601,-62848.445,4.8,-
,-1,25.8,26,13.9,2.7,0.3513,0.3547,169.64,171.27,ÉXÉM,ê∂óßñÿ,,,,,,,81,5.51,6.34,3.76,8,139.135458,35.72908174,-29832.61,-63131.713,139.6257394,35.2563334,-30187.647,-62840.929,4.1,-
,-1,16.7,16,13.5,4.5,0.1534,0.1403,74.05,67.76,ÉXÉM,ê∂óßñÿ,,,,,,,52.4,4.48,5.33,2.65,7,139.1354452,35.72907393,-29833.468,-63132.876,139.6257395,35.2563335,-30188.506,-62842.092,3.2,-
